 212876. 3079402.   -3363.   12457.   11312.    1145.     0.64        
 212904. 3079304.   -3384.   12425.   11479.     946.     0.53        
 213149. 3079854.   -3701.    8837.    9697.    -860.     0.48        
 213128. 3080707.   -3756.    5815.    8021.   -2206.     1.23        
 212667. 3081850.   -3360.    5078.    6401.   -1323.     0.74        
 211991. 3082700.   -2705.     675.    4850.   -4176.     2.33        
 212073. 3083784.   -2893.    2285.    4186.   -1901.     1.06        
 213233. 3082550.   -4038.    3358.    4677.   -1319.     0.74        
 211970. 3080906.   -2518.    8141.    9414.   -1274.     0.71        
 209872. 3080774.    -228.   14448.   12967.    1481.     0.83        
 207985. 3080599.    1836.   17351.   15296.    2055.     1.15        
 205924. 3080774.    4056.   12018.   14470.   -2452.     1.37        
 210597. 3082182.   -1144.    5857.    7994.   -2137.     1.19        
 209682. 3082772.    -206.    6030.    7806.   -1776.     0.99        
 208610. 3082812.     954.    6815.    8405.   -1590.     0.89        
 212234. 3077972.   -2535.   17471.   17223.     248.     0.14        
 210479. 3076592.    -504.   31465.   29717.    1748.     0.98        
 210037. 3076325.      -0.   35639.   32846.    2793.     1.56        
 208633. 3075408.    1608.   40165.   39390.     775.     0.43        
 208598. 3077222.    1480.   33682.   32578.    1104.     0.62        
 208943. 3078550.     984.   25349.   24423.     927.     0.52        
 207785. 3079014.    2197.   24380.   22722.    1658.     0.93        
 206410. 3079465.    3649.   18118.   19843.   -1726.     0.96        
 207952. 3080093.    1918.   17897.   17408.     489.     0.27        
 209214. 3079205.     629.   21129.   20491.     638.     0.36        
 209920. 3077298.      37.   27714.   28082.    -368.     0.21        
 210044. 3078069.    -168.   24757.   23989.     767.     0.43        
 211950. 3079013.   -2323.   15750.   14682.    1068.     0.60        
 211335. 3080038.   -1749.   12966.   12940.      26.     0.01        
 207581. 3075071.    2780.   41165.   38503.    2662.     1.49        
 206231. 3074650.    4283.   34054.   34381.    -328.     0.18        
 206552. 3076192.    3794.   35077.   33832.    1245.     0.69        
 207229. 3077708.    2920.   30461.   29438.    1023.     0.57        
 207864. 3076478.    2344.   38556.   36091.    2465.     1.38        
 205999. 3073149.    4672.   31757.   32636.    -880.     0.49        
 203754. 3071415.    7268.   27513.   30094.   -2581.     1.44        
 202524. 3071009.    8640.   31684.   31240.     444.     0.25        
 200870. 3071308.   10408.   35886.   33592.    2294.     1.28        
 200317. 3071597.   10981.   36794.   33857.    2937.     1.64        
 199524. 3072016.   11803.   36163.   33372.    2791.     1.56        
 201000. 3072044.   10199.   35635.   34788.     847.     0.47        
 202374. 3071972.    8715.   37024.   34575.    2449.     1.37        
 200570. 3072533.   10621.   35238.   35211.      28.     0.02        
 203183. 3072914.    7750.   35168.   34416.     752.     0.42        
 204662. 3073833.    6061.   36216.   35803.     413.     0.23        
 203338. 3073759.    7505.   34485.   33977.     508.     0.28        
 201343. 3070134.   10002.   29581.   30543.    -961.     0.54        
 200345. 3070498.   11052.   30065.   30703.    -638.     0.36        
